trip_id,departure_at,arrival_at,route_name,vehicle_capacity,total_price,occupancy
8898,2017-11-01 08:00:00-06,2017-11-01 09:00:00-06,Ecatepec - Insurgentes Sur,21,55,5
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,63,5
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8908,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Santa Fé - Iztapalapa,21,55,5
8915,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ecatepec - Centro,20,63,5
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,63,5
8910,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Santa Fé - Ixtapaluca,22,64,5
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,126,10
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8920,2017-11-01 19:00:00-06,2017-11-01 20:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8913,2017-11-01 17:00:00-06,2017-11-01 18:30:00-06,Polanco - Buenavista,20,62,5
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,126,10
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,65,5
8906,2017-11-01 11:00:00-06,2017-11-01 12:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8890,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Santa Fé - Ixtapaluca,21,128,10
8892,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ixtapaluca - Condesa,21,59,5
8877,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Santa Fé - Iztapalapa,19,55,6
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8907,2017-11-01 10:00:00-06,2017-11-01 10:45:00-06,Iztapalapa - Santa Fé,19,55,6
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,126,10
8900,2017-11-01 08:00:00-06,2017-11-01 09:30:00-06,Buenavista - Polanco,18,62,6
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8889,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ixtapaluca - Santa Fé,21,64,5
8918,2017-11-01 11:00:00-06,2017-11-01 12:30:00-06,Buenavista - Polanco,18,186,17
8882,2017-11-01 17:00:00-06,2017-11-01 18:15:00-06,Del Valle - Nezahualcóyotl,22,130,10
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8905,2017-11-01 07:00:00-06,2017-11-01 08:30:00-06,Buenavista - Polanco,22,62,5
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8898,2017-11-01 08:00:00-06,2017-11-01 09:00:00-06,Ecatepec - Insurgentes Sur,21,55,5
8880,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Centro - Ecatepec,19,126,11
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8902,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Iztapalapa - Santa Fé,22,55,5
8879,2017-11-01 10:00:00-06,2017-11-01 11:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8896,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Centro - Ecatepec,19,126,11
8889,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ixtapaluca - Santa Fé,21,64,5
8893,2017-11-01 19:00:00-06,2017-11-01 20:30:00-06,Polanco - Buenavista,19,62,6
8878,2017-11-01 09:00:00-06,2017-11-01 10:30:00-06,Buenavista - Polanco,19,62,6
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8920,2017-11-01 19:00:00-06,2017-11-01 20:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8914,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8917,2017-11-01 19:00:00-06,2017-11-01 19:45:00-06,Condesa - Ixtapaluca,21,59,5
8883,2017-11-01 20:00:00-06,2017-11-01 20:45:00-06,Condesa - Ixtapaluca,18,59,6
8900,2017-11-01 08:00:00-06,2017-11-01 09:30:00-06,Buenavista - Polanco,18,62,6
8887,2017-11-01 19:00:00-06,2017-11-01 19:45:00-06,Centro - Ecatepec,22,63,5
8891,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ecatepec - Insurgentes Sur,22,55,5
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8895,2017-11-01 10:00:00-06,2017-11-01 11:30:00-06,Buenavista - Polanco,19,124,11
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8890,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8895,2017-11-01 10:00:00-06,2017-11-01 11:30:00-06,Buenavista - Polanco,19,62,6
8890,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8881,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ecatepec - Centro,22,63,5
8902,2017-11-01 08:00:00-06,2017-11-01 08:45:00-06,Iztapalapa - Santa Fé,22,55,5
8897,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Iztapalapa - Santa Fé,22,55,5
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,63,5
8895,2017-11-01 10:00:00-06,2017-11-01 11:30:00-06,Buenavista - Polanco,19,62,6
8900,2017-11-01 08:00:00-06,2017-11-01 09:30:00-06,Buenavista - Polanco,18,62,6
8890,2017-11-01 20:00:00-06,2017-11-01 21:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8889,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ixtapaluca - Santa Fé,21,64,5
8916,2017-11-01 16:00:00-06,2017-11-01 16:45:00-06,Centro - Ecatepec,22,126,10
8894,2017-11-01 16:00:00-06,2017-11-01 17:00:00-06,Insurgentes Sur - Ecatepec,21,55,5
8893,2017-11-01 19:00:00-06,2017-11-01 20:30:00-06,Polanco - Buenavista,19,62,6
8912,2017-11-01 09:00:00-06,2017-11-01 09:45:00-06,Ixtapaluca - Condesa,21,59,5
8906,2017-11-01 11:00:00-06,2017-11-01 12:15:00-06,Nezahualcóyotl - Del Valle,19,65,6
8918,2017-11-01 11:00:00-06,2017-11-01 12:30:00-06,Buenavista - Polanco,18,124,12
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8892,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ixtapaluca - Condesa,21,59,5
8888,2017-11-01 07:00:00-06,2017-11-01 08:00:00-06,Ixtapaluca - Santa Fé,19,64,6
8909,2017-11-01 07:00:00-06,2017-11-01 08:15:00-06,Nezahualcóyotl - Del Valle,18,65,6
8915,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ecatepec - Centro,20,63,5
8915,2017-11-01 07:00:00-06,2017-11-01 07:45:00-06,Ecatepec - Centro,20,63,5
8885,2017-11-01 11:00:00-06,2017-11-01 11:45:00-06,Ixtapaluca - Condesa,19,59,6
8893,2017-11-01 19:00:00-06,2017-11-01 20:30:00-06,Polanco - Buenavista,19,62,6
8887,2017-11-01 19:00:00-06,2017-11-01 19:45:00-06,Centro - Ecatepec,22,63,5
8889,2017-11-01 10:00:00-06,2017-11-01 11:00:00-06,Ixtapaluca - Santa Fé,21,64,5
8920,2017-11-01 19:00:00-06,2017-11-01 20:00:00-06,Santa Fé - Ixtapaluca,21,64,5
8895,2017-11-01 10:00:00-06,2017-11-01 11:30:00-06,Buenavista - Polanco,19,62,6
8880,2017-11-01 17:00:00-06,2017-11-01 17:45:00-06,Centro - Ecatepec,19,63,6
8920,2017-11-01 19:00:00-06,2017-11-01 20:00:00-06,Santa Fé - Ixtapaluca,21,128,10
